"pickup_hour","total_trips","avg_trips_per_day","total_revenue","revenue_per_trip"
"0","64302","2074.0","1821834.98","28.33"
"1","43166","1392.0","1111354.68","25.75"
"2","29153","940.0","712510.86","24.44"
"3","18962","612.0","484250.1","25.54"
"4","12175","393.0","397782.32","32.67"
"5","15156","489.0","559536.79","36.92"
"6","34379","1109.0","1022571.2","29.74"
"7","73439","2369.0","1956394.72","26.64"
"8","104942","3385.0","2610687.35","24.88"
"9","121265","3912.0","3052577.09","25.17"
"10","132561","4276.0","3386367.47","25.55"
"11","143582","4632.0","3634359.4","25.31"
"12","155900","5029.0","4871746.56","31.25"
"13","164641","5311.0","4351673.55","26.43"
"14","177244","5718.0","4824565.66","27.22"
"15","186439","6014.0","5069819.28","27.19"
"16","189079","6099.0","5521906.05","29.2"
"17","205245","6621.0","5686589.26","27.71"
"18","204191","6587.0","5419413.5","26.54"
"19","173040","5582.0","4726805.33","27.32"
"20","156356","5044.0","4251063.99","27.19"
"21","159950","5160.0","4394693.55","27.48"
"22","132794","4284.0","3721615.54","28.03"
"23","93200","3006.0","2725618.68","29.24"
