"borough","zone_name","total_revenue","trip_count","revenue_per_trip","avg_distance"
"""Queens""","""JFK Airport""","1.014382467E7","128039","79.22","15.46"
"""Queens""","""LaGuardia Airport""","6394441.63","84067","76.06","9.45"
"""Manhattan""","""Midtown Center""","3524156.94","146192","24.11","2.19"
"""Manhattan""","""Upper East Side South""","2921509.08","147549","19.8","1.66"
"""Manhattan""","""Times Sq/Theatre District""","2879753.1","107000","26.91","2.8"
"""Manhattan""","""Upper East Side North""","2770274.26","137372","20.17","1.8"
"""Manhattan""","""Penn Station/Madison Sq West""","2567603.75","107593","23.86","2.16"
"""Manhattan""","""Midtown East""","2475119.87","104651","23.65","2.17"
"""Manhattan""","""Lincoln Square East""","2094129.03","97242","21.54","2.05"
"""Manhattan""","""Midtown North""","2044559.7","84374","24.23","2.27"
"""Manhattan""","""East Chelsea""","1844401.11","74886","24.63","2.38"
"""Manhattan""","""Murray Hill""","1837448.75","79219","23.19","2.14"
"""Manhattan""","""Union Sq""","1707307.44","77763","21.96","1.94"
"""Manhattan""","""Upper West Side South""","1703198.99","81584","20.88","1.99"
"""Manhattan""","""Clinton East""","1589485.92","69797","22.77","2.29"
