"borough","zone_name","trip_count","total_revenue","avg_fare","avg_tip","revenue_per_trip"
"""Manhattan""","""Upper East Side South""","147549","2921509.08","11.98","2.67","19.8"
"""Manhattan""","""Midtown Center""","146192","3524156.94","14.91","3.24","24.11"
"""Manhattan""","""Upper East Side North""","137372","2770274.26","12.5","2.73","20.17"
"""Queens""","""JFK Airport""","128039","1.014382467E7","60.97","9.27","79.22"
"""Manhattan""","""Penn Station/Madison Sq West""","107593","2567603.75","15.22","3.14","23.86"
"""Manhattan""","""Times Sq/Theatre District""","107000","2879753.1","17.23","3.47","26.91"
"""Manhattan""","""Midtown East""","104651","2475119.87","14.57","3.2","23.65"
"""Manhattan""","""Lincoln Square East""","97242","2094129.03","13.35","2.94","21.54"
"""Manhattan""","""Midtown North""","84374","2044559.7","15.14","3.23","24.23"
"""Queens""","""LaGuardia Airport""","84067","6394441.63","51.49","8.95","76.06"
"""Manhattan""","""Upper West Side South""","81584","1703198.99","12.99","2.89","20.88"
"""Manhattan""","""Murray Hill""","79219","1837448.75","14.39","3.04","23.19"
"""Manhattan""","""Union Sq""","77763","1707307.44","13.25","2.99","21.96"
"""Manhattan""","""East Chelsea""","74886","1844401.11","15.6","3.31","24.63"
"""Manhattan""","""Clinton East""","69797","1589485.92","14.22","2.91","22.77"
